"filename", "language", "C#", "XML", "comment", "blank", "total"
"d:\Revature\Training code\P0-Michael-Good\DL\DBRepo.cs", "C#", 266, 0, 56, 23, 345
"d:\Revature\Training code\P0-Michael-Good\DL\DL.csproj", "XML", 0, 19, 0, 5, 24
"d:\Revature\Training code\P0-Michael-Good\DL\Entities\Customer.cs", "C#", 17, 0, 0, 5, 22
"d:\Revature\Training code\P0-Michael-Good\DL\Entities\IIDBContext.cs", "C#", 93, 0, 0, 25, 118
"d:\Revature\Training code\P0-Michael-Good\DL\Entities\Inventory.cs", "C#", 15, 0, 0, 4, 19
"d:\Revature\Training code\P0-Michael-Good\DL\Entities\Order.cs", "C#", 20, 0, 0, 5, 25
"d:\Revature\Training code\P0-Michael-Good\DL\Entities\OrderLine.cs", "C#", 15, 0, 0, 4, 19
"d:\Revature\Training code\P0-Michael-Good\DL\Entities\Product.cs", "C#", 19, 0, 0, 5, 24
"d:\Revature\Training code\P0-Michael-Good\DL\Entities\StoreFront.cs", "C#", 16, 0, 0, 5, 21
"d:\Revature\Training code\P0-Michael-Good\DL\IRepo.cs", "C#", 20, 0, 0, 3, 23
"Total", "-", 481, 19, 56, 84, 640